id_candidat;prenom;nom;sexe;date_naissance;id_twitter;compte_verifie;date_creation_compte;annee_election;date_premier_tour;nom_annee_election;nom_derniere_election;sortant;dissident;parti_vainqueur_presidentielles;resultat_election;nb_tweets_elec_period;nb_tweets_reserve_period;nb_tweets_last_week;nb_tweets_1st_concern;nb_tweets_2nd_concern;nb_tweets_3rd_concern;sum_likes_elec_period;max_likes_elec_period;avg_likes_elec_period;sum_likes_reserve_period;max_likes_reserve_period;avg_likes_reserve_period;sum_likes_last_week;max_likes_last_week;avg_likes_last_week;sum_likes_1st_concern;max_likes_1st_concern;avg_likes_1st_concern;sum_likes_2nd_concern;max_likes_2nd_concern;avg_likes_2nd_concern;sum_likes_3rd_concern;max_likes_3rd_concern;avg_likes_3rd_concern;sum_retweets_elec_period;max_retweets_elec_period;avg_retweets_elec_period;sum_retweets_reserve_period;max_retweets_reserve_period;avg_retweets_reserve_period;sum_retweets_last_week;max_retweets_last_week;avg_retweets_last_week;sum_retweets_1st_concern;max_retweets_1st_concern;avg_retweets_1st_concern;sum_retweets_2nd_concern;max_retweets_2nd_concern;avg_retweets_2nd_concern;sum_retweets_3rd_concern;max_retweets_3rd_concern;avg_retweets_3rd_concern
44;Daniel;Assayag;M;1986-09-20;;;;2022;2022-06-12;DIV;DIV;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
45;Quitterie;de Villepin;F;1978-01-01;49627758.0;False;2009-06-01;2022;2022-06-12;DIV;DIV;False;False;LREM;False;554;240;105;0;2;0;3474;91.0;6.0;1350;54.0;6.0;650;54.0;6.0;0;0.0;0.0;11;6.0;6.0;0;0.0;0.0;55267;17773.0;100.0;1509;499.0;6.0;420;19.0;4.0;0;0.0;0.0;1;1.0;1.0;0;0.0;0.0
46;Karine;Dreyfuss;F;1969-08-31;1.2032995326557798e+18;False;2019-12-01;2022;2022-06-12;DIV;DIV;False;False;LREM;False;28;20;12;0;0;1;40;24.0;1.0;13;10.0;1.0;13;10.0;1.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;12628;11628.0;451.0;12151;11628.0;608.0;11894;11628.0;991.0;0;0.0;0.0;0;0.0;0.0;32;32.0;32.0
47;Charline;Joliveau;F;1966-01-22;;;;2022;2022-06-12;DXG;DXG;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
48;Gilles;Le Gendre;M;1958-05-13;;;;2022;2022-06-12;ENS;ENS;True;False;LREM;True;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
49;Jean-Pierre;Lecoq;M;1954-07-18;539156968.0;False;2012-03-01;2022;2022-06-12;LR;LR;False;False;LREM;False;206;113;46;0;4;1;3379;436.0;16.0;758;88.0;7.0;210;64.0;5.0;0;0.0;0.0;21;13.0;5.0;4;4.0;4.0;6741;550.0;33.0;3396;291.0;30.0;961;117.0;21.0;0;0.0;0.0;12;5.0;3.0;2;2.0;2.0
50;Marine;Rosset;F;1985-12-14;425231735.0;False;2011-09-01;2022;2022-06-12;NUPES;NUPES;False;False;LREM;False;277;149;68;4;4;4;3343;159.0;12.0;1796;54.0;12.0;663;50.0;10.0;96;49.0;24.0;71;29.0;18.0;106;50.0;27.0;7262;1667.0;26.0;1962;54.0;13.0;818;37.0;12.0;52;18.0;13.0;50;16.0;13.0;60;32.0;15.0
51;André;Rougé;M;1961-12-23;1.1561359426604605e+18;False;2019-09-01;2022;2022-06-12;RN;RN;False;False;LREM;False;223;68;29;6;0;0;2639;482.0;12.0;670;47.0;10.0;337;45.0;12.0;523;482.0;87.0;0;0.0;0.0;0;0.0;0.0;46743;6645.0;210.0;4541;2564.0;67.0;365;89.0;13.0;273;242.0;46.0;0;0.0;0.0;0;0.0;0.0
52;Florence;Bedague;F;1963-01-01;;;;2022;2022-06-12;DXG;DXG;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
53;Pierre;Beyssac;M;1966-07-20;;;;2022;2022-06-12;DIV;DIV;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
